Fold,RMSE,R2,MAE,r,Bias,N_train,N_test,N_group_0_train,N_group_0_test,N_group_1_train,N_group_1_test
1,0.058934887754328244,0.7822331183515908,0.047366059969515685,0.9063733468418742,-0.017636160098305674,412.0,95.0,268.0,59.0,144.0,36.0
2,0.039328323324517356,0.7275609088679093,0.03083373641968929,0.9080826329950681,0.02269380759536512,402.0,105.0,256.0,71.0,146.0,34.0
3,0.05195254246392084,0.49833453114651294,0.04054075078987746,0.8024125822566583,0.01614671994341786,414.0,93.0,265.0,62.0,149.0,31.0
4,0.052855503377950336,0.7224862142622854,0.042918081741130334,0.8714573103289888,0.0012448193834853371,404.0,103.0,260.0,67.0,144.0,36.0
5,0.0501750180549959,0.5663498576950305,0.038654836501936164,0.8111224936318018,-0.02013570544933178,396.0,111.0,259.0,68.0,137.0,43.0
