Fold,RMSE,R2,MAE,r,Bias,N_train,N_test,N_group_0_train,N_group_0_test,N_group_1_train,N_group_1_test
1,0.04982169230630399,0.8443733886051785,0.04130493931085286,0.9381801499677032,-0.01574142325620041,412.0,95.0,268.0,59.0,144.0,36.0
2,0.0391253442773398,0.7303658452791943,0.03260668421967277,0.9030962951541514,0.0219699980715556,402.0,105.0,256.0,71.0,146.0,34.0
3,0.04633318849094531,0.6009889049345811,0.039123462814779394,0.8206353456577695,0.011254246825138285,414.0,93.0,265.0,62.0,149.0,31.0
4,0.04930939683250644,0.7584742075449458,0.03747331002601556,0.8732330893076891,-0.0024445010048641754,404.0,103.0,260.0,67.0,144.0,36.0
5,0.04488818520394593,0.6529208593619182,0.03520311472454255,0.8488947378075148,-0.013216786530412866,396.0,111.0,259.0,68.0,137.0,43.0
