y,x,snow_thickness,snow_thickness_bin_count,lon,lat,EsEs,EsEs_bin_count,radar_fb,radar_fb_bin_count,snow_depth_01,snow_depth_01_bin_count,sea_ice_thickness_01,sea_ice_thickness_01_bin_count,freeboard_mean_01,freeboard_mean_01_bin_count,mwarren_snow_depth_01,mwarren_snow_depth_01_bin_count,mwarren_sea_ice_thickness_01,mwarren_sea_ice_thickness_01_bin_count,source_icebird_file
1312500.0,-1512500.0,0.2518380363355237,2587.0,-130.95041829672863,71.99100087418655,1.9075025125628136,2587.0,0.05686536823033765,2554.0,0.21033333333332868,3.0,2.676594987498523,3.0,0.24957498275861667,3.0,0.30099872859146143,3.0,3.0540923106196565,3.0,P5_205_PAMARCMIP_2017_1704021401_sea-ice_V2.tab
1337500.0,-1512500.0,0.24748791208791202,1820.0,-131.48624973939505,71.84151278583052,1.5447423076923064,1820.0,0.04781345955363169,1795.0,0.22900000000001342,1.0,2.356017044597138,1.0,0.19437560975609358,1.0,0.2997720048831809,1.0,2.6506856148851057,1.0,P5_205_PAMARCMIP_2017_1704021401_sea-ice_V2.tab
1437500.0,-1512500.0,0.2575003194888177,1565.0,-133.5436413656603,71.22782173043788,1.9559220447284336,1565.0,0.0854049167117143,1544.0,0.25574999999999903,4.0,2.344957273501734,4.0,0.1775687153591896,4.0,0.3000613387123465,4.0,2.5292516383901784,4.0,P5_205_PAMARCMIP_2017_1704021401_sea-ice_V2.tab
1462500.0,-1537500.0,0.25850148898153713,1679.0,-133.56790381583536,70.90667555744234,1.6406759976176302,1679.0,0.03785147922683235,1659.0,0.2535000000000025,2.0,2.4038279427036287,2.0,0.18702436332767292,2.0,0.2991689595432945,2.0,2.59376876008173,2.0,P5_205_PAMARCMIP_2017_1704021401_sea-ice_V2.tab
1462500.0,-1512500.0,0.30557125382262984,3270.0,-134.0371363743638,71.07064288915339,2.18750642201835,3270.0,0.0447528734522349,3228.0,0.2704999999999984,2.0,2.4773716402642094,2.0,0.1874178627450931,2.0,0.29952457363508245,2.0,2.5980871392690688,2.0,P5_205_PAMARCMIP_2017_1704021401_sea-ice_V2.tab
1412500.0,-862500.0,0.1626708542713568,1592.0,-148.59094844784133,75.13769106040108,1.568407663316584,1592.0,0.07977195622119344,1573.0,0.14766666666666595,3.0,2.131716272347868,3.0,0.13769845912708215,3.0,0.16925366451633295,3.0,2.251080601050944,3.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1437500.0,-862500.0,0.14785046728971982,1498.0,-149.03624346792648,74.94443641134161,1.8022603471295058,1498.0,0.09220370710767962,1481.0,0.1530000000000058,1.0,2.095070387525766,1.0,0.13077413793103432,1.0,0.16918070461537127,1.0,2.1845408621979914,1.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1537500.0,-837500.0,0.1832547393364929,4220.0,-151.4221874983153,74.27175485032518,1.7545898104265414,4220.0,0.05372467333435334,4162.0,0.21300000000000097,2.0,1.9723170765423674,2.0,0.13232238095238102,2.0,0.2949402129820484,2.0,2.322995454021509,2.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1562500.0,-837500.0,0.20713451327433646,1695.0,-151.80869162620687,74.07279428042499,1.7032053097345148,1695.0,0.01639445330870863,1658.0,0.20550000000000068,4.0,1.7419742895044692,4.0,0.12244796796227142,4.0,0.3368589532949642,4.0,2.2906988265793586,4.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1587500.0,-837500.0,0.2040895476772616,3272.0,-152.18570614422475,73.87306957667818,1.6271583129584357,3272.0,0.047537737138184516,3220.0,0.1787499999999973,4.0,1.7111515655600726,4.0,0.12524020945220293,4.0,0.3155356022659994,4.0,2.2916137252140345,4.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1612500.0,-837500.0,0.2026293929712461,2817.0,-152.55354482633987,73.67260544747761,1.8243450479233243,2817.0,0.05681184575391233,2767.0,0.1930000000000014,4.0,1.7855971342347914,4.0,0.10547310792655828,4.0,0.25220109223871034,4.0,2.0673465891639466,4.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1637500.0,-837500.0,0.21339072039072018,819.0,-152.91250938596326,73.4714254476371,1.898123321123319,819.0,0.0973008521884343,798.0,0.1889999999999977,3.0,2.1583748613276157,3.0,0.15313449685534644,3.0,0.2520064716724543,3.0,2.4582348534227854,3.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1662500.0,-837500.0,0.17171459854014576,1370.0,-153.26288994219414,73.26955203705005,1.5701153284671536,1370.0,0.014120352407829698,1355.0,0.1700000000000017,3.0,1.9258092624419685,3.0,0.13584408585718202,3.0,0.2518392363730347,3.0,2.3152980263814698,3.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1662500.0,-812500.0,0.18139241001564974,2556.0,-153.95423169951118,73.3701917227425,2.05936345852895,2556.0,0.08069991757258485,2521.0,0.1700000000000017,1.0,1.7596793900142984,1.0,0.11563559322033967,1.0,0.25172754062178626,1.0,2.148636572257601,1.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
1687500.0,-812500.0,0.16958974358974346,2496.0,-154.29004621918875,73.16647271451144,1.588203125000001,2496.0,0.02798966706369826,2468.0,0.1620000000000026,4.0,1.3835962923367333,4.0,0.07451918596748541,4.0,0.251587611333715,4.0,1.8099610722280204,4.0,P5_205_PAMARCMIP_2017_1704061801_sea-ice_V2.tab
