Year,Frequency,Surface Flag,mean,median,std,min,max,iqr
2016,238,Closed Ice,-0.5404403932596401,-0.4076499058461991,0.4856790376528303,-9.016292554542275,0.01798977187021933,0.4499840381672442
2016,238,Mixed,-2.7745909201157355,-1.4332293359132109,3.722288826504095,-79.5604862557314,-0.032670120355248855,2.792485357156991
2016,238,Open Water,-15.141383306379167,-13.249136263131277,8.505343342165022,-125.3259019780379,-1.5914684621615436,9.221796590686466
2016,365,Closed Ice,-0.34426188291798954,-0.23706926115593774,0.36149307143601894,-8.91665686569445,0.033074257846635646,0.26195503184359836
2016,365,Mixed,-1.5421817605407482,-0.6840118950079557,2.5508547584692387,-79.35016031779207,-0.02409019073022023,1.5150787351152672
2016,365,Open Water,-9.549473962713897,-7.826095368589819,6.9292589291804365,-111.6683248578594,-0.6596445718023745,6.936070020759189
2017,238,Closed Ice,-0.5556306690691643,-0.42496671652710916,0.4457286548050502,-6.523745957784058,0.015253212404729766,0.48689564775726524
2017,238,Mixed,-2.4521984079145542,-1.2577256942901727,3.2066230685987365,-85.86583944809621,-0.019894398430665206,2.432170922730805
2017,238,Open Water,-15.235463320314494,-13.160622121375411,8.642116860860368,-103.02689485583866,-1.0756273682182211,8.863868649390298
2017,365,Closed Ice,-0.33926642362904236,-0.23861172764711114,0.31292925608412603,-5.382141847803666,0.11429139114670761,0.2706098860267616
2017,365,Mixed,-1.3208891216330396,-0.5923319478508233,2.1389664293425734,-81.4360976047839,-0.014817803651908434,1.2400885298283129
2017,365,Open Water,-9.622059023668701,-7.762715979230649,7.123013825461371,-94.58235633387221,-0.5190798871029756,6.8347783220421405
2018,238,Closed Ice,-0.47584471351509305,-0.35435949584191917,0.4494621019115229,-11.583547332704484,0.007516109406878968,0.394078196581944
2018,238,Mixed,-2.557910701135419,-1.371183990097279,3.2908437848295646,-74.74222978435915,-0.026600476767924874,2.5828626017878094
2018,238,Open Water,-14.923793528445968,-13.098710439259207,8.431577819119255,-128.88386422472593,-1.4000720163623157,8.969898603946262
2018,365,Closed Ice,-0.2817044632901525,-0.20344539956758467,0.29205954769765485,-7.025028174754823,0.0016554011502876165,0.20672285239263033
2018,365,Mixed,-1.354266851262723,-0.6288481855820862,2.13469188493616,-71.59784511435726,-0.022631958818891462,1.3147299787051736
2018,365,Open Water,-9.399586312847658,-7.651920603212574,6.959579704875743,-109.89354260447269,-0.5796125955070579,6.726572100604926
2019,238,Closed Ice,-0.4864541859384406,-0.3426895158875567,0.4522355896003055,-11.682997514663754,0.01604305964704622,0.41819644551977575
2019,238,Mixed,-2.2786016168203016,-1.1815137621057943,2.986421964612869,-87.52127509547694,-0.015514748949669865,2.3063465438154083
2019,238,Open Water,-14.660766137591125,-12.620303701111098,8.477967376836247,-129.3834819145199,-1.2424325182859377,8.354842013418022
2019,365,Closed Ice,-0.2888379513403489,-0.19301059498549478,0.2995443917644089,-11.760009839823766,0.04537796279197437,0.21404615451271525
2019,365,Mixed,-1.2031060799244644,-0.5406193540385971,1.9779967773999474,-78.29224975411202,0.005318809655420864,1.1471732754359039
