name,count,oib_file
S3A_SR_2_LAN_SI_20180403T153637_20180403T155023_20230501T200700_0826_029_325______LN3_R_NT_005.SEN3,70,IDCSI4_20180403.txt
S3A_SR_2_LAN_SI_20170315T044613_20170315T045552_20230410T055609_0578_015_233______LN3_R_NT_005.SEN3,68,IDCSI4_20170314.txt
S3A_SR_2_LAN_SI_20160422T060008_20160422T061600_20230823T142649_0951_003_191______LN3_R_NT_005.SEN3,66,IDCSI4_20160421.txt
S3A_SR_2_LAN_SI_20180407T235447_20180408T001535_20230502T021930_1248_030_002______LN3_R_NT_005.SEN3,65,IDCSI4_20180408.txt
S3A_SR_2_LAN_SI_20180402T160229_20180402T161836_20230501T191354_0967_029_311______LN3_R_NT_005.SEN3,64,IDCSI4_20180403.txt
S3B_SR_2_LAN_SI_20190420T163444_20190420T164931_20230408T121259_0887_024_240______LN3_R_NT_005.SEN3,64,IDCSI4_20190420.txt
S3A_SR_2_LAN_SI_20170405T121749_20170405T123846_20230411T102139_1256_016_152______LN3_R_NT_005.SEN3,63,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20170310T234324_20170311T000349_20230410T003317_1225_015_173______LN3_R_NT_005.SEN3,63,IDCSI4_20170311.txt
S3A_SR_2_LAN_SI_20160421T062805_20160421T064232_20230823T134443_0866_003_177______LN3_R_NT_005.SEN3,62,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20170311T213824_20170311T215515_20230410T011448_1011_015_186______LN3_R_NT_005.SEN3,61,IDCSI4_20170312.txt
S3A_SR_2_LAN_SI_20160504T205712_20160504T211722_20230824T192421_1210_003_371______LN3_R_NT_005.SEN3,61,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20160429T213115_20160429T214749_20230824T151850_0993_003_300______LN3_R_NT_005.SEN3,61,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20180406T054935_20180406T060418_20230501T234146_0883_029_362______LN3_R_NT_005.SEN3,61,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20170319T213117_20170319T214750_20230410T120020_0993_015_300______LN3_R_NT_005.SEN3,61,IDCSI4_20170320.txt
S3A_SR_2_LAN_SI_20180415T033842_20180415T034842_20230502T113545_0600_030_104______LN3_R_NT_005.SEN3,60,IDCSI4_20180414.txt
S3A_SR_2_LAN_SI_20170314T051230_20170314T052048_20230410T041341_0498_015_219______LN3_R_NT_005.SEN3,60,IDCSI4_20170314.txt
S3A_SR_2_LAN_SI_20160420T234321_20160421T000346_20230825T124848_1225_003_173______LN3_R_NT_005.SEN3,60,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20170312T042345_20170312T043309_20230410T012802_0563_015_190______LN3_R_NT_005.SEN3,58,IDCSI4_20170312.txt
S3B_SR_2_LAN_SI_20190419T170052_20190419T171512_20230408T105620_0859_024_226______LN3_R_NT_005.SEN3,58,IDCSI4_20190420.txt
S3A_SR_2_LAN_SI_20180415T052003_20180415T052827_20230502T112830_0503_030_105______LN3_R_NT_005.SEN3,56,IDCSI4_20180414.txt
S3A_SR_2_LAN_SI_20180416T214218_20180416T215856_20230502T141420_0997_030_129______LN3_R_NT_005.SEN3,56,IDCSI4_20180416.txt
S3A_SR_2_LAN_SI_20170314T033100_20170314T034102_20230410T041007_0602_015_218______LN3_R_NT_005.SEN3,56,IDCSI4_20170314.txt
S3A_SR_2_LAN_SI_20180403T171738_20180403T172916_20230501T201721_0698_029_326______LN3_R_NT_005.SEN3,56,IDCSI4_20180403.txt
S3A_SR_2_LAN_SI_20180402T174320_20180402T175539_20230501T185339_0738_029_312______LN3_R_NT_005.SEN3,55,IDCSI4_20180403.txt
S3A_SR_2_LAN_SI_20170406T152133_20170406T153606_20230411T114038_0873_016_168______LN3_R_NT_005.SEN3,53,IDCSI4_20170407.txt
S3A_SR_2_LAN_SI_20160505T034532_20160505T035559_20230825T235737_0627_003_375______LN3_R_NT_005.SEN3,53,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20190420T171406_20190420T172656_20230530T012222_0769_043_383______LN3_R_NT_005.SEN3,53,IDCSI4_20190420.txt
S3A_SR_2_LAN_SI_20170406T115152_20170406T121228_20230411T115923_1236_016_166______LN3_R_NT_005.SEN3,53,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20170420T041209_20170420T042209_20230412T060421_0600_016_361______LN3_R_NT_005.SEN3,52,IDCSI4_20170419.txt
S3A_SR_2_LAN_SI_20160505T015757_20160505T022555_20230825T172803_1677_003_374______LN3_R_NT_005.SEN3,52,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20160428T215652_20160428T221332_20230824T134403_0999_003_286______LN3_R_NT_005.SEN3,51,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20160503T213301_20160503T214405_20230825T233315_0663_003_357______LN3_R_NT_005.SEN3,51,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20170313T071542_20170313T073038_20230410T033408_0895_015_206______LN3_R_NT_005.SEN3,51,IDCSI4_20170312.txt
S3A_SR_2_LAN_SI_20160420T000923_20160420T003129_20230825T014639_1326_003_159______LN3_R_NT_005.SEN3,51,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20160504T041203_20160504T042203_20230824T184241_0600_003_361______LN3_R_NT_005.SEN3,50,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20170405T140845_20170405T142538_20230411T101909_1013_016_153______LN3_R_NT_005.SEN3,50,IDCSI4_20170405.txt
S3A_SR_2_LAN_SI_20170404T143417_20170404T145145_20230411T092441_1047_016_139______LN3_R_NT_005.SEN3,49,IDCSI4_20170405.txt
S3A_SR_2_LAN_SI_20170403T130917_20170403T133700_20230411T075708_1663_016_124______LN3_R_NT_005.SEN3,49,IDCSI4_20170403.txt
S3A_SR_2_LAN_SI_20170405T154727_20170405T160424_20230411T103705_1016_016_154______LN3_R_NT_005.SEN3,48,IDCSI4_20170405.txt
S3A_SR_2_LAN_SI_20180407T001759_20180407T004323_20230502T011832_1524_029_373______LN3_R_NT_005.SEN3,47,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20170406T133123_20170406T135927_20230411T115300_1683_016_167______LN3_R_NT_005.SEN3,47,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20190419T173953_20190419T175202_20230530T010006_0729_043_369______LN3_R_NT_005.SEN3,46,IDCSI4_20190420.txt
S3A_SR_2_LAN_SI_20170402T184848_20170402T185906_20230411T061914_0618_016_113______LN3_R_NT_005.SEN3,46,IDCSI4_20170403.txt
S3A_SR_2_LAN_SI_20160504T022655_20160504T024138_20230824T190613_0883_003_360______LN3_R_NT_005.SEN3,46,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20170420T022701_20170420T024144_20230412T061319_0882_016_360______LN3_R_NT_005.SEN3,46,IDCSI4_20170419.txt
S3A_SR_2_LAN_SI_20170407T145646_20170407T151252_20230411T130439_0966_016_182______LN3_R_NT_005.SEN3,46,IDCSI4_20170407.txt
S3A_SR_2_LAN_SI_20170315T030124_20170315T031512_20230410T054506_0827_015_232______LN3_R_NT_005.SEN3,45,IDCSI4_20170314.txt
S3A_SR_2_LAN_SI_20160421T062805_20160421T064232_20230823T134443_0866_003_177______LN3_R_NT_005.SEN3,44,IDCSI4_20160421.txt
S3A_SR_2_LAN_SI_20170312T060011_20170312T061602_20230410T021543_0951_015_191______LN3_R_NT_005.SEN3,42,IDCSI4_20170312.txt
S3A_SR_2_LAN_SI_20180406T004311_20180406T011018_20230502T001121_1627_029_359______LN3_R_NT_005.SEN3,42,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20170404T161436_20170404T162926_20230411T092121_0890_016_140______LN3_R_NT_005.SEN3,42,IDCSI4_20170405.txt
S3A_SR_2_LAN_SI_20170405T140845_20170405T142538_20230411T101909_1013_016_153______LN3_R_NT_005.SEN3,42,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20160420T220447_20160420T222101_20230823T004907_0973_003_172______LN3_R_NT_005.SEN3,41,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20180416T045405_20180416T050223_20230502T124345_0498_030_119______LN3_R_NT_005.SEN3,41,IDCSI4_20180416.txt
S3A_SR_2_LAN_SI_20170320T224527_20170320T230202_20230410T131937_0994_015_315______LN3_R_NT_005.SEN3,40,IDCSI4_20170320.txt
S3B_SR_2_LAN_SI_20190420T011835_20190420T014541_20230408T115758_1625_024_231______LN3_R_NT_005.SEN3,40,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20180415T220813_20180415T222453_20230502T123208_1000_030_115______LN3_R_NT_005.SEN3,40,IDCSI4_20180416.txt
S3B_SR_2_LAN_SI_20190420T181425_20190420T182741_20230408T121731_0796_024_241______LN3_R_NT_005.SEN3,39,IDCSI4_20190420.txt
S3A_SR_2_LAN_SI_20160429T044227_20160429T045208_20230824T130559_0581_003_290______LN3_R_NT_005.SEN3,39,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20180417T042742_20180417T043704_20230502T143407_0561_030_133______LN3_R_NT_005.SEN3,38,IDCSI4_20180416.txt
S3A_SR_2_LAN_SI_20180405T230742_20180405T232446_20230501T232604_1023_029_358______LN3_R_NT_005.SEN3,38,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20160419T223037_20160419T224634_20230822T220749_0957_003_158______LN3_R_NT_005.SEN3,38,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20190419T004317_20190419T011025_20230530T003518_1627_043_359______LN3_R_NT_005.SEN3,37,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20170319T231127_20170319T232819_20230410T120134_1012_015_301______LN3_R_NT_005.SEN3,37,IDCSI4_20170320.txt
S3A_SR_2_LAN_SI_20160430T041550_20160430T042548_20230824T150055_0597_003_304______LN3_R_NT_005.SEN3,37,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20170311T012025_20170311T014731_20230410T003436_1625_015_174______LN3_R_NT_005.SEN3,37,IDCSI4_20170310.txt
