ice_draft_01_mean,ice_draft_01_median,ice_draft_01_std,ice_draft_01_min,ice_draft_01_max,ice_draft_01_count,ice_draft_mwarren_01_mean,ice_draft_mwarren_01_median,ice_draft_mwarren_01_std,ice_draft_mwarren_01_min,ice_draft_mwarren_01_max,ice_draft_mwarren_01_count,mooring,date,ow_count_01,fyi_count_01,myi_count_01,ambiguous_count_01,ow_fraction_01,fyi_fraction_01,myi_fraction_01,ambiguous_fraction_01,mean_draft,median_draft,std_draft,min_draft,max_draft,n_draft,mean_draft_rolling_mean,ice_draft_01_mean_rolling_mean,ice_draft_mwarren_01_mean_rolling_mean,ow_fraction_01_rolling_mean,fyi_fraction_01_rolling_mean,myi_fraction_01_rolling_mean,ambiguous_fraction_01_rolling_mean,Year-Month,Month,month,month_of_season
,,,,,4.0,,,,,,4.0,b,2020-10-08,,,,,,,,,0.1632071132336307,0.12,0.1224493170543047,0.01,1.41,79570.0,0.19650692428290548,,,,,,,2020-10,Oct,10,1
,,,,,3.0,,,,,,3.0,b,2020-10-10,,,,,,,,,0.1750971585155179,0.12,0.1900372180400252,0.01,3.1,83935.0,0.17214544078289573,,,,,,,2020-10,Oct,10,1
,,,,,1.0,,,,,,1.0,b,2020-10-11,,,,,,,,,0.1781320505995386,0.13,0.1694051363313622,0.01,2.55,78894.0,0.17661460455752825,,,,,,,2020-10,Oct,10,1
0.5130674317856201,0.4626651373576126,0.13860083295154613,0.301692741441692,0.6939604518540455,9.0,0.943897367147119,0.9422884060516757,0.10715295415900558,0.7339497890553048,1.061806495879963,9.0,b,2020-10-16,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.1568591595356188,0.16,0.1220491639588628,0.01,1.45,73388.0,0.1833845965940676,0.5907651225505757,0.961562379976012,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,2020-10,Oct,10,1
0.6684628133155311,0.6119197706695458,0.11619737077298513,0.571350191054924,0.8465899733217496,6.0,0.979227392804905,0.9753097843396692,0.05570977628145506,0.9028173267427261,1.0666038941194047,6.0,b,2020-10-17,0.0,2.0,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2007255364300872,0.18,0.1503356909955923,0.01,1.82,84820.0,0.1833845965940676,0.5907651225505757,0.961562379976012,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,2020-10,Oct,10,1
,,,,,3.0,,,,,,3.0,b,2020-10-18,,,,,,,,,0.1925690938164969,0.17,0.1963851873342205,0.01,3.98,79421.0,0.1856123710168597,0.5741058474416607,0.8789988926916297,0.0,0.4444444444444444,0.4444444444444444,0.1111111111111111,2020-10,Oct,10,1
,,,,,3.0,,,,,,3.0,d,2020-10-18,,,,,,,,,0.2714968554915972,0.14,0.4727675106627565,0.01,6.36,86341.0,0.2714968554915972,,,,,,,2020-10,Oct,10,1
0.5407872972238308,0.5516377634701373,0.11202749437280558,0.3351199544294405,0.6923774098882005,14.0,0.7138719181228651,0.7612866126531768,0.12018131568989054,0.4893636138838695,0.8468515850171262,14.0,b,2020-10-20,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1922956942852359,0.17,0.1838114070936957,0.01,4.61,77641.0,0.21030848855982381,0.5866755238229736,0.7148954845124628,0.0,1.0,0.0,0.0,2020-10,Oct,10,1
0.7946094953292722,0.8048946241517374,0.1209135843772096,0.4959429637653009,0.9412155705693688,13.0,0.7939175931053352,0.848507071211123,0.13796083881092835,0.5876993101030925,0.9702529220634545,13.0,b,2020-10-21,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1876455183491043,0.18,0.110533352440795,0.01,1.71,85917.0,0.2162216201409328,0.5866755238229736,0.7148954845124628,0.0,1.0,0.0,0.0,2020-10,Oct,10,1
0.7964033141782119,0.954139906701908,0.3823360694676667,0.23696697588611731,1.218906250432515,9.0,0.7451543625368233,0.9619608564862153,0.47254332449121705,0.11668956746187628,1.2705877222424213,9.0,b,2016-10-28,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4804297811707192,0.23,0.6936836606817469,0.01,6.27,86323.0,0.4323983396594337,0.7933014625695183,0.8426216299469533,0.0,1.0,0.0,0.0,2016-10,Oct,10,1
