snow_source,ice_type,year,month,year-month,region,variable,min,max,mean,median,std,dyn_range
s3,all,2021,10,2021-10-15 12:00:00,0.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,0.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,1.0,snow_depth,0.002000000000000668,0.3081400000000003,0.1721506471017375,0.169442222222224,0.06097525167263885,0.22766783968719584
s3,all,2021,10,2021-10-15 12:00:00,1.0,sea_ice_thickness,-0.4529711099232827,2.6954785168225044,1.0720308587648189,1.0284535146061735,0.3796513396599292,1.6093456602826843
s3,all,2021,10,2021-10-15 12:00:00,2.0,snow_depth,0.03499999999999659,0.23300000000000567,0.13877665747478599,0.14449999999999363,0.0464045090535361,0.1545100000000012
s3,all,2021,10,2021-10-15 12:00:00,2.0,sea_ice_thickness,-0.42799854208328725,2.191713136127248,0.8956264209624403,0.89819136592115,0.3812607844551035,1.594701064348127
s3,all,2021,10,2021-10-15 12:00:00,3.0,snow_depth,0.008000000000009777,0.1735000000000042,0.0796594377510045,0.0800000000000054,0.03297731627964675,0.13754999999998926
s3,all,2021,10,2021-10-15 12:00:00,3.0,sea_ice_thickness,-0.42155262051164755,1.4630687920371201,0.7397765416284462,0.7948969936309898,0.3991016718111617,1.6728881368576365
s3,all,2021,10,2021-10-15 12:00:00,4.0,snow_depth,0.01099999999999568,0.22100000000000364,0.07443101167670159,0.07200000000000273,0.03423688847880416,0.141121666666666
s3,all,2021,10,2021-10-15 12:00:00,4.0,sea_ice_thickness,-0.48075135987005524,2.596642281536333,0.7182462615733652,0.7034283580481429,0.37638532243314426,1.6028190963890678
s3,all,2021,10,2021-10-15 12:00:00,5.0,snow_depth,0.018000000000000682,0.18272727272727282,0.07225456553016368,0.06537500000000263,0.029826708338193557,0.13012000000000784
s3,all,2021,10,2021-10-15 12:00:00,5.0,sea_ice_thickness,-0.3103190963209528,1.8940524864354313,0.6658129441289978,0.678231880023489,0.4316801234242697,1.9072220727151656
s3,all,2021,10,2021-10-15 12:00:00,6.0,snow_depth,0.007999999999999119,0.1795,0.07232734420928871,0.07187499999999969,0.0384136594953787,0.139120000000001
s3,all,2021,10,2021-10-15 12:00:00,6.0,sea_ice_thickness,-0.2150444501369909,1.2464215905440668,0.3583552526115077,0.32059494266743693,0.3383451052355729,1.2980213568055112
s3,all,2021,10,2021-10-15 12:00:00,7.0,snow_depth,0.06299999999999943,0.07600000000000051,0.06949999999999998,0.06949999999999998,0.00650000000000054,0.012480000000001032
s3,all,2021,10,2021-10-15 12:00:00,7.0,sea_ice_thickness,0.7985523781024687,1.189992466990816,0.9942724225466424,0.9942724225466424,0.19572004444417362,0.37578248533281333
s3,all,2021,10,2021-10-15 12:00:00,8.0,snow_depth,0.0326666666666667,0.23200000000000007,0.12947699936216073,0.1315625,0.04152348377774188,0.15326577777777783
s3,all,2021,10,2021-10-15 12:00:00,8.0,sea_ice_thickness,-0.32729215534251566,3.0818191283509853,0.9036852686495013,0.8462745725652601,0.4589603546360975,1.9316529795972976
s3,all,2021,10,2021-10-15 12:00:00,9.0,snow_depth,0.0470000000000006,0.1639999999999997,0.10222523448773453,0.09930000000000017,0.024614838237872985,0.0985752380952374
s3,all,2021,10,2021-10-15 12:00:00,9.0,sea_ice_thickness,-0.14575794908657258,1.4405292375627283,0.8772674311935518,0.9135691031254152,0.3926214281583986,1.4180096974761556
s3,all,2021,10,2021-10-15 12:00:00,10.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,10.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,11.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,11.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,12.0,snow_depth,0.041999999999999926,0.2715000000000005,0.17859946067438576,0.1800000000000003,0.04818292220092988,0.19046666666666373
s3,all,2021,10,2021-10-15 12:00:00,12.0,sea_ice_thickness,-0.4745119496365646,2.201350056428778,0.7349241304757417,0.714980132661708,0.4075278104087977,1.7282287982012459
s3,all,2021,10,2021-10-15 12:00:00,13.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,13.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,14.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,14.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,15.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,15.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,16.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,16.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,17.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,17.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,18.0,snow_depth,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,18.0,sea_ice_thickness,,,,,,
s3,all,2021,10,2021-10-15 12:00:00,100.0,snow_depth,0.002000000000000668,0.3081400000000003,0.14928845229786222,0.1520599999999999,0.06486663158432562,0.2397454166666695
s3,all,2021,10,2021-10-15 12:00:00,100.0,sea_ice_thickness,-0.48075135987005524,3.0818191283509853,0.9563001489227914,0.9398561849422933,0.4183436949803644,1.784484783260784
s3,fyi,2021,10,2021-10-15 12:00:00,0.0,snow_depth,,,,,,
