variable,product,ice_type,year,month,year-month,region,min,max,mean,median,std,dyn_range
snow_depth,NaRRS,fyi,2021,10,2021-10-15,3.0,0.008000000000009777,0.1735000000000042,0.07487500000000052,0.0740999999999995,0.030855691233872478,0.13510999999998743
snow_depth,NaRRS,fyi,2021,10,2021-10-15,2.0,0.03499999999999659,0.2187499999999929,0.10242590370712286,0.0909999999999987,0.03676097739495563,0.14928999999999995
snow_depth,NaRRS,fyi,2021,10,2021-10-15,1.0,0.002000000000000668,0.17450000000000188,0.08545064720965889,0.08479755434782617,0.02734787243878455,0.11422333333333748
snow_depth,NaRRS,fyi,2021,10,2021-10-15,0.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,100.0,0.002000000000000668,0.3081400000000003,0.14928845229786222,0.1520599999999999,0.06486663158432562,0.2397454166666695
snow_depth,NaRRS,all,2021,10,2021-10-15,18.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,17.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,16.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,15.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,14.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,13.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,12.0,0.041999999999999926,0.2715000000000005,0.17859946067438576,0.1800000000000003,0.04818292220092988,0.19046666666666373
snow_depth,NaRRS,all,2021,10,2021-10-15,11.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,10.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,9.0,0.0470000000000006,0.1639999999999997,0.10222523448773453,0.09930000000000017,0.024614838237872985,0.0985752380952374
snow_depth,NaRRS,all,2021,10,2021-10-15,8.0,0.0326666666666667,0.23200000000000007,0.12947699936216073,0.1315625,0.04152348377774188,0.15326577777777783
snow_depth,NaRRS,all,2021,10,2021-10-15,7.0,0.06299999999999943,0.07600000000000051,0.06949999999999998,0.06949999999999998,0.00650000000000054,0.012480000000001032
snow_depth,NaRRS,fyi,2021,10,2021-10-15,11.0,,,,,,
snow_depth,NaRRS,all,2021,10,2021-10-15,6.0,0.007999999999999119,0.1795,0.07232734420928871,0.07187499999999969,0.0384136594953787,0.139120000000001
snow_depth,NaRRS,fyi,2021,10,2021-10-15,12.0,0.041999999999999926,0.2250000000000001,0.13292771739130413,0.1332500000000001,0.04280466693053082,0.16590000000000266
snow_depth,NaRRS,fyi,2021,10,2021-10-15,14.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,17.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,16.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,15.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,14.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,13.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,12.0,0.08599999999999852,0.2715000000000005,0.20958085535793244,0.21474999999999947,0.0350242195534926,0.12785294117647256
snow_depth,NaRRS,myi,2021,10,2021-10-15,11.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,10.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,9.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,8.0,0.10200000000000009,0.2024444444444445,0.1670287638516806,0.16528571428571429,0.023294111543797808,0.08455444444444456
snow_depth,NaRRS,myi,2021,10,2021-10-15,7.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,6.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,5.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,4.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,3.0,0.10099999999999909,0.1419999999999959,0.1214999999999975,0.1214999999999975,0.02049999999999841,0.03935999999999695
snow_depth,NaRRS,myi,2021,10,2021-10-15,2.0,0.10400000000000394,0.23300000000000567,0.18764577532806773,0.19250000000000078,0.02425462793197441,0.10424500000000002
snow_depth,NaRRS,myi,2021,10,2021-10-15,1.0,0.10599999999999454,0.3081400000000003,0.22649469170351785,0.23204272727272907,0.037310640961812074,0.13006609181141493
snow_depth,NaRRS,myi,2021,10,2021-10-15,0.0,,,,,,
snow_depth,NaRRS,fyi,2021,10,2021-10-15,100.0,0.002000000000000668,0.2250000000000001,0.0844368629117983,0.08109523809523815,0.035519146639592325,0.15606000000001052
snow_depth,NaRRS,fyi,2021,10,2021-10-15,18.0,,,,,,
snow_depth,NaRRS,fyi,2021,10,2021-10-15,17.0,,,,,,
snow_depth,NaRRS,fyi,2021,10,2021-10-15,16.0,,,,,,
snow_depth,NaRRS,fyi,2021,10,2021-10-15,15.0,,,,,,
snow_depth,NaRRS,fyi,2021,10,2021-10-15,13.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,18.0,,,,,,
snow_depth,NaRRS,myi,2021,10,2021-10-15,100.0,0.08599999999999852,0.3081400000000003,0.22142947379838052,0.22508940092165897,0.0385053365362275,0.14172194326241233
snow_depth,NaRRS,all,2021,10,2021-10-15,1.0,0.002000000000000668,0.3081400000000003,0.1721506471017375,0.169442222222224,0.06097525167263885,0.22766783968719584
snow_depth,NaRRS,all,2021,10,2021-10-15,2.0,0.03499999999999659,0.23300000000000567,0.13877665747478599,0.14449999999999363,0.0464045090535361,0.1545100000000012
snow_depth,NaRRS,all,2021,10,2021-10-15,3.0,0.008000000000009777,0.1735000000000042,0.0796594377510045,0.0800000000000054,0.03297731627964675,0.13754999999998926
snow_depth,NaRRS,all,2021,10,2021-10-15,4.0,0.01099999999999568,0.22100000000000364,0.07443101167670159,0.07200000000000273,0.03423688847880416,0.141121666666666
snow_depth,NaRRS,all,2021,10,2021-10-15,5.0,0.018000000000000682,0.18272727272727282,0.07225456553016368,0.06537500000000263,0.029826708338193557,0.13012000000000784
snow_depth,bremen,myi,2021,11,2021-11-15,8.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,14.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,15.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,16.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,17.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,18.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,1.0,0.07209788850319657,0.24061371283923186,0.1630685189333428,0.16175046841763205,0.022298484602998235,0.08929863788078082
snow_depth,bremen,fyi,2021,11,2021-11-15,0.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,13.0,0.1099487204759398,0.1099487204759398,0.1099487204759398,0.1099487204759398,0.0,0.0
snow_depth,bremen,fyi,2021,11,2021-11-15,2.0,0.07156790070726071,0.20807051446319794,0.15663676841178725,0.14868101258986038,0.02816811032158824,0.09639786442504417
snow_depth,NaRRS,all,2021,11,2021-11-15,0.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,100.0,0.04523084626843758,0.3351691434163404,0.15397996311252318,0.15169056597090846,0.02948591424993158,0.11445432021677814
snow_depth,bremen,all,2021,11,2021-11-15,12.0,0.09549841778580553,0.3351691434163404,0.15569277839064233,0.1525167121289242,0.035516805678024975,0.1203055445498143
snow_depth,bremen,all,2021,11,2021-11-15,9.0,0.06049176919237269,0.19176284804953692,0.10355627336339138,0.10054291037196117,0.018696168335510792,0.08460982520301841
snow_depth,bremen,all,2021,11,2021-11-15,10.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,3.0,0.08762828278091789,0.1964136194861202,0.14920810739443136,0.14829758545056476,0.019506506782261054,0.07762393386951502
snow_depth,bremen,all,2021,11,2021-11-15,8.0,0.04523084626843758,0.21989663899444722,0.1448809361635356,0.1484448560719785,0.03565053516650677,0.13914832946126743
snow_depth,bremen,all,2021,11,2021-11-15,7.0,0.048418270276063796,0.2040423089110476,0.12078772632689633,0.12286179005616114,0.01722102275741434,0.06706604821740303
snow_depth,bremen,all,2021,11,2021-11-15,6.0,0.08087503177019546,0.2232372518764122,0.1346656838834386,0.13270848792853662,0.016720734963223308,0.0718697932034338
snow_depth,bremen,all,2021,11,2021-11-15,5.0,0.10344395869659513,0.16744753610740842,0.13464838665418116,0.13364217555746072,0.013226296350028583,0.04951112185355645
snow_depth,bremen,all,2021,11,2021-11-15,4.0,0.09261583226008127,0.19570776596679365,0.1542140028163103,0.15474863081608503,0.014933834816082766,0.06629584704835054
snow_depth,bremen,all,2021,11,2021-11-15,3.0,0.08762828278091789,0.21037602859401003,0.15045873242604682,0.1488620526170049,0.020465309612024807,0.08135013274602397
snow_depth,bremen,all,2021,11,2021-11-15,2.0,0.07156790070726071,0.2865047806789937,0.1679441514939815,0.1727752648792101,0.030451255018023576,0.11208359907366347
snow_depth,bremen,all,2021,11,2021-11-15,1.0,0.07209788850319657,0.28829433941303956,0.1721072739763597,0.17044119393865576,0.025011273152598077,0.09562331996708086
snow_depth,bremen,all,2021,11,2021-11-15,0.0,,,,,,
snow_depth,bremen,all,2021,11,2021-11-15,11.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,4.0,0.09261583226008127,0.1942458535172074,0.15362622149367522,0.1545541852843573,0.014444552690429126,0.0640870091108803
snow_depth,bremen,fyi,2021,11,2021-11-15,5.0,0.10344395869659513,0.16744753610740842,0.13464838665418116,0.13364217555746072,0.013226296350028583,0.04951112185355645
snow_depth,bremen,fyi,2021,11,2021-11-15,6.0,0.08087503177019546,0.2232372518764122,0.1346656838834386,0.13270848792853662,0.016720734963223308,0.0718697932034338
snow_depth,bremen,myi,2021,11,2021-11-15,9.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,10.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,11.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,12.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,6.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,14.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,15.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,16.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,17.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,18.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,100.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,5.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,4.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,3.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,7.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,2.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,0.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,100.0,0.04523084626843758,0.2669455573292432,0.14664797673154562,0.14649389061923407,0.025415372483824035,0.10447145131563415
snow_depth,bremen,fyi,2021,11,2021-11-15,18.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,17.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,16.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,15.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,14.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,13.0,0.1099487204759398,0.1099487204759398,0.1099487204759398,0.1099487204759398,0.0,0.0
snow_depth,bremen,fyi,2021,11,2021-11-15,12.0,0.09549841778580553,0.2669455573292432,0.14024470554671042,0.13369585915895346,0.026431767793514176,0.09689164040309228
snow_depth,bremen,fyi,2021,11,2021-11-15,11.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,10.0,,,,,,
snow_depth,bremen,fyi,2021,11,2021-11-15,9.0,0.06049176919237269,0.19176284804953692,0.10303019062592764,0.1004914027473652,0.017927376050831462,0.08084629167088431
snow_depth,bremen,fyi,2021,11,2021-11-15,8.0,0.04523084626843758,0.2120170864715441,0.13557942226315955,0.14088576142553577,0.033896409103790416,0.1298544451226433
snow_depth,bremen,fyi,2021,11,2021-11-15,7.0,0.048418270276063796,0.2040423089110476,0.12078772632689633,0.12286179005616114,0.01722102275741434,0.06706604821740303
snow_depth,bremen,myi,2021,11,2021-11-15,1.0,,,,,,
snow_depth,bremen,myi,2021,11,2021-11-15,13.0,,,,,,
snow_depth,NaRRS,all,2021,11,2021-11-15,1.0,0.023249999999990223,0.3560000000000002,0.16570610625510088,0.15212394957983194,0.07475219265886851,0.2647537855750486
snow_depth,NaRRS,myi,2021,11,2021-11-15,5.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,12.0,0.01099999999999568,0.1673333333333311,0.08932012757965124,0.08282857142857132,0.028273059241604857,0.11158333333333605
snow_depth,NaRRS,fyi,2021,11,2021-11-15,13.0,0.057999999999992724,0.07200000000000273,0.06499999999999773,0.06499999999999773,0.007000000000005002,0.013440000000009611
snow_depth,NaRRS,fyi,2021,11,2021-11-15,14.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,15.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,17.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,18.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,100.0,0.006000000000000227,0.28000000000000114,0.09279141638610185,0.08950000000000102,0.027826544552564645,0.11555333333333107
snow_depth,NaRRS,myi,2021,11,2021-11-15,0.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,1.0,0.16259523809523896,0.3560000000000002,0.2575506265434443,0.2610238095238102,0.04745987237918995,0.16283998088867757
snow_depth,NaRRS,myi,2021,11,2021-11-15,2.0,0.18090476190476154,0.28093750000000295,0.2206839118431447,0.21899431818181836,0.02196581524729686,0.08863413961039163
snow_depth,NaRRS,myi,2021,11,2021-11-15,3.0,0.13749999999998863,0.14799999999999613,0.14274999999999238,0.14274999999999238,0.005250000000003752,0.010080000000007194
snow_depth,NaRRS,myi,2021,11,2021-11-15,4.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,11.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,6.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,8.0,0.1800714285714285,0.22641935483870998,0.2102984385458906,0.21603846153846165,0.013394463233164523,0.042820423963133986
snow_depth,NaRRS,myi,2021,11,2021-11-15,9.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,10.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,11.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,12.0,0.11999999999999744,0.3396818181818172,0.24497721072171658,0.24446666666666644,0.0438443327195156,0.16704249999999887
snow_depth,NaRRS,myi,2021,11,2021-11-15,13.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,14.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,15.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,16.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,17.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,18.0,,,,,,
snow_depth,NaRRS,myi,2021,11,2021-11-15,100.0,0.11999999999999744,0.3560000000000002,0.2533348526488127,0.25461538461538497,0.04706720009128831,0.16427843855606528
snow_depth,NaRRS,myi,2021,11,2021-11-15,7.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,10.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,16.0,,,,,,
snow_depth,NaRRS,fyi,2021,11,2021-11-15,8.0,0.04600000000000004,0.2416666666666667,0.12675582293909157,0.12036111111111114,0.03812758854599386,0.15749571428571457
snow_depth,NaRRS,all,2021,11,2021-11-15,2.0,0.020666666666661133,0.28733333333333444,0.1446460390974669,0.14352777777777626,0.04774196002969838,0.1771966666666672
snow_depth,NaRRS,all,2021,11,2021-11-15,3.0,0.009000000000000341,0.28000000000000114,0.09601140004721882,0.09396874999999927,0.024658292630850367,0.10313666666665491
snow_depth,NaRRS,all,2021,11,2021-11-15,4.0,0.02650000000000574,0.15393750000000228,0.08397731355277598,0.082452380952383,0.02240852220695372,0.10017299999999812
snow_depth,NaRRS,all,2021,11,2021-11-15,5.0,0.01200000000000001,0.20399999999999974,0.08392669156605415,0.08149999999999984,0.02427697340525385,0.11184000000000258
