month_centre,latitude,longitude,xc,yc,draft,month,snow_depth_01,negative_snow_depth_flag_01,mwarren_snow_depth_01,ice_draft_01,ice_draft_mwarren_01,month_of_season,Month
2016-10-15,78.8219,-4.630155,-100586.43377718271,-1242009.7546072688,2.1748256913485013,10,0.1653213924963925,0.0,0.2992872366445532,1.074563781572145,1.5249096299304616,1,Oct
2017-10-15,78.8190375,-4.644895,-100921.64416822336,-1242306.073234271,0.73296470383661,10,0.13486363636363635,0.0,0.2371691313481972,1.2871333488230499,1.6514722736837286,1,Oct
2016-11-15,78.8219,-4.630155,-100586.43377718271,-1242009.7546072688,1.744342609201746,11,0.19312892084767086,0.0,0.2842546392589436,1.8525185988050348,2.0720488943678057,2,Nov
2017-11-15,78.8190375,-4.644895,-100921.64416822336,-1242306.073234271,1.1090303726590913,11,0.20549653846153848,0.0,0.2875434750876477,1.6207056274888203,1.9070974406448375,2,Nov
2017-12-15,78.8190375,-4.644895,-100921.64416822336,-1242306.073234271,0.9496857843191175,12,0.17512797631661267,0.0,0.1536805831866421,1.7565619103615526,1.6546971008288784,3,Dec
2016-12-15,78.8219,-4.630155,-100586.43377718271,-1242009.7546072688,1.7422713719236387,12,0.2380072005375577,0.0,0.23541004535743126,1.7591214225602674,1.7401115033678185,3,Dec
2017-01-15,78.8219,-4.630155,-100586.43377718271,-1242009.7546072688,1.9944869558248257,1,0.24695455077330078,0.0,0.29274754870743935,1.8922034270337924,2.0494346402858876,4,Jan
2018-01-15,78.8190375,-4.644895,-100921.64416822336,-1242306.073234271,0.8346667871953286,1,0.1758019841269841,0.0,0.1787212404979899,1.8374111241587716,1.8186894294436933,4,Jan
2017-02-15,78.8219,-4.630155,-100586.43377718271,-1242009.7546072688,2.5327071305196323,2,0.26150119047619047,0.0,0.24297973162873812,3.0038400526749873,2.888573030112538,5,Feb
2018-02-15,78.8190375,-4.644895,-100921.64416822336,-1242306.073234271,1.2480989391693589,2,0.18502600732600732,0.0,0.18054199727321338,1.8078484862642192,1.773198209669511,5,Feb
2018-03-15,78.8190375,-4.644895,-100921.64416822336,-1242306.073234271,1.1107382299309514,3,0.14444632034632035,0.0,0.2680263032925363,1.1704398242124763,1.7272519861658402,6,Mar
2017-03-15,78.8219,-4.630155,-100586.43377718271,-1242009.7546072688,1.6177326022473013,3,0.1464548717948718,0.0,0.29560215501327614,1.0175524028456013,1.7579251114569623,6,Mar
2017-04-15,78.8219,-4.630155,-100586.43377718271,-1242009.7546072688,1.520248055707548,4,0.20953499490705374,0.0,0.3327331068227571,1.4734738629115836,2.075768790853804,7,Apr
2018-04-15,78.8190375,-4.644895,-100921.64416822336,-1242306.073234271,1.093040446141194,4,0.18917310606060608,0.0,0.2097975723462757,1.0477030047504166,1.1961629111459877,7,Apr
