YearMonth,Frequency,Surface Flag,mean,std,min,max,iqr
2016-10,238,Closed Ice,-1.6243627337084312,1.0196662216272998,-8.792829840309281,-0.1433365205718644,1.0593281278522397
2016-10,238,Mixed,-5.116591837749894,4.772759113253062,-50.75320083743483,-0.2525983055203085,4.38588842153748
2016-10,238,Open Water,-18.578073119038805,9.104273479539643,-125.3259019780379,-2.7875010592170497,10.21603949959868
2016-10,365,Closed Ice,-1.0441086300018714,0.8499247260749639,-8.91665686569445,-0.09014376846153027,0.8703326581794641
2016-10,365,Mixed,-2.9729685620084574,3.3340922647159594,-53.901000617065904,-0.13278598522541074,2.443245820919536
2016-10,365,Open Water,-11.248312162159868,7.634710481431004,-111.6683248578594,-1.083089458911843,7.205965297743667
2016-11,238,Closed Ice,-0.7472198477871549,0.4490167567731849,-3.2083271118027312,-0.03558312751255244,0.5734420741753894
2016-11,238,Mixed,-3.0643704009803088,3.4762281542324067,-47.49997389393522,-0.10536311449675395,3.0322759589744095
2016-11,238,Open Water,-15.042566210160773,8.926124402872771,-100.4620243491105,-2.1460509038650457,8.892389690982725
2016-11,365,Closed Ice,-0.4886625413135986,0.3514350343664897,-2.6639654252433047,-0.027488380822802583,0.37299596660656675
2016-11,365,Mixed,-1.7630669636961451,2.3349996319042385,-44.461893211165545,-0.06048965503504178,1.6438990482109261
2016-11,365,Open Water,-9.374608296773904,7.171177968210752,-96.87882916698601,-0.8555328206674915,7.001422893115148
2016-12,238,Closed Ice,-0.4426957337703644,0.35537079685147765,-3.775812867922099,-0.029771806262402833,0.3671776089663439
2016-12,238,Mixed,-1.977696233486607,2.9065889034744243,-79.5604862557314,-0.06245170976762893,1.94009603042106
2016-12,238,Open Water,-13.39366473960794,7.581987093712349,-102.45331835478027,-1.5914684621615436,8.887992967044482
2016-12,365,Closed Ice,-0.27460991206854973,0.28112973728966417,-4.114689333764147,-0.006795330598208693,0.193323800304384
2016-12,365,Mixed,-1.0755112919985375,2.0277082584086616,-79.35016031779207,-0.03581705026050486,0.9008694705982663
2016-12,365,Open Water,-8.807915110518772,6.361646212178754,-98.21116028628444,-0.6596445718023745,6.751605063913303
2017-01,238,Closed Ice,-0.3862770344974933,0.28799626460293204,-5.094706469560634,0.01798977187021933,0.32364228129079464
2017-01,238,Mixed,-1.8297446767261603,2.905904650163223,-58.605359774007155,-0.04326804773879189,1.6417273278284554
2017-01,238,Open Water,-12.614959391833132,7.435113939548031,-77.9144793898476,-1.9245606628290943,8.095202257952721
2017-01,365,Closed Ice,-0.2236710689238542,0.19741793129587784,-5.130406799126575,0.011695030612258961,0.15136865187233184
2017-01,365,Mixed,-0.9685841823752223,2.074319358200084,-56.68564767624727,-0.027805954758434837,0.7611109729896768
2017-01,365,Open Water,-8.471873215287753,6.37625926415595,-80.76119999474648,-0.7828914139804226,6.486420150831691
2017-02,238,Closed Ice,-0.3968715092789268,0.3189172613643372,-5.346384293228397,-0.003821040654599983,0.3251640955294164
2017-02,238,Mixed,-2.336032879290069,3.3928946841848804,-44.2787399951099,-0.041654033307395366,2.355229264443139
2017-02,238,Open Water,-14.505500014256905,7.483044139642865,-73.58006866292791,-1.7130735279830844,8.49420357829004
2017-02,365,Closed Ice,-0.23210778383396813,0.2349629322803812,-5.7959678292383785,0.033074257846635646,0.14640820182962244
2017-02,365,Mixed,-1.3150886843130536,2.339022953198719,-42.387052701316804,-0.02954673785183104,1.2407995683754933
2017-02,365,Open Water,-9.845523986361282,6.305157715612645,-77.61162189526638,-0.6744665443296753,6.99532222041185
